blnid,flnid,bdid,fdid,bpid,fpid,bx,by,bh,fx,fy,fh,bx_1,by_1,bh_1,lcnt,lno,lanetype,limitvel,lanecfgfg,blid1,blid2,blid3,blid4,flid1,flid2,flid3,flid4
15072.0,15096.0,3076.0,1678.0,106563.0,99353.0,6816.545641327905,-8295.013989870033,-62.63867996527733,6821.253014557751,-8295.81470898767,-62.64875689427936,6816.739609987666,-8294.96434160061,-62.6408222609175,0.0,0.0,2.0,25.0,0.0,13379.0,0.0,0.0,0.0,8352.0,0.0,0.0,0.0
15097.0,15125.0,1668.0,2741.0,99469.0,92465.0,6817.541736231301,-8286.890207927798,-62.61112903248841,6815.094702918256,-8291.919585489752,-62.607085665964405,6817.522506840765,-8287.089495855671,-62.61436876933658,0.0,0.0,2.0,25.0,0.0,8526.0,0.0,0.0,0.0,13764.0,0.0,0.0,0.0
15126.0,15155.0,1947.0,2135.0,106420.0,100353.0,6819.987167169769,-8275.741165329504,-62.54419093376055,6819.347498388166,-8281.357123250513,-62.59083454871916,6820.047740706694,-8275.931953671337,-62.54950451947525,0.0,0.0,2.0,25.0,0.0,10086.0,0.0,0.0,0.0,10554.0,0.0,0.0,0.0
15156.0,15184.0,2123.0,3104.0,100374.0,95890.0,6829.604446671681,-8276.317102885365,-62.60322769152026,6825.1325313700945,-8273.216859724314,-62.55240015645404,6829.40784454743,-8276.281845381402,-62.60097129374162,0.0,0.0,2.0,25.0,0.0,10652.0,0.0,0.0,0.0,9607.0,0.0,0.0,0.0
15185.0,15230.0,313.0,1226.0,97112.0,91684.0,6823.3240452539985,-8320.618373163632,-62.68744839592864,6815.572241376571,-8317.567014009293,-62.68316388685571,6823.134327344164,-8320.681915295134,-62.687328867169526,0.0,0.0,2.0,25.0,0.0,1606.0,0.0,0.0,0.0,6719.0,0.0,0.0,0.0
15231.0,15284.0,1529.0,527.0,102205.0,97416.0,6813.802111563913,-8321.651964476961,-62.69362966322706,6823.093089739335,-8324.42529978139,-62.701194753768505,6813.914207475196,-8321.817786794676,-62.69296683214861,0.0,0.0,1.0,25.0,0.0,6934.0,0.0,0.0,0.0,2656.0,0.0,0.0,0.0
15285.0,15319.0,3130.0,327.0,98759.0,97109.0,6813.4145486127745,-8320.821594852885,-62.69312688163927,6810.69668855304,-8326.646831414175,-62.672867259364466,6813.431307911739,-8321.02018377527,-62.69340520130527,0.0,0.0,2.0,25.0,0.0,7013.0,0.0,0.0,0.0,1532.0,0.0,0.0,0.0
15320.0,15367.0,1240.0,2717.0,98750.0,101751.0,6809.650860624144,-8304.889676025155,-62.63323690330253,6812.584629731517,-8296.839218185652,-62.60583642731717,6809.580365011222,-8304.703073035154,-62.63191744163578,0.0,0.0,2.0,25.0,0.0,6718.0,0.0,0.0,0.0,13380.0,0.0,0.0,0.0
15368.0,15432.0,1241.0,2760.0,98679.0,101843.0,6809.226904275176,-8303.984023637182,-62.62759920164399,6798.06361447941,-8299.886599846646,-62.59133623620164,6809.1207385306425,-8303.8150893202,-62.626264835173515,0.0,0.0,1.0,25.0,0.0,6716.0,0.0,0.0,0.0,13685.0,0.0,0.0,0.0
15433.0,15475.0,2746.0,1255.0,101849.0,98674.0,6810.737863257616,-8293.957244446588,-62.582097350753884,6803.305501434534,-8291.30665536766,-62.598705212752975,6810.547066726074,-8294.016822289796,-62.58197159611336,0.0,0.0,2.0,25.0,0.0,13763.0,0.0,0.0,0.0,6638.0,0.0,0.0,0.0
