bwlid,fwlid,blid,flid,blnid,flnid,bpid,fpid,bx,by,bh,fx,fy,fh,width,color,type
4026.0,4069.0,13891.0,13934.0,615.0,613.0,13965.0,14009.0,6761.775892792899,-8190.418030012277,-62.47353473289422,6768.445689003567,-8187.2581064578535,-62.47652748003975,0.15,87.0,0.0
4070.0,4212.0,13935.0,14077.0,1533.0,1531.0,14010.0,14153.0,6809.280377803887,-8323.959560026216,-62.700829983437416,6792.219372679323,-8314.577503500623,-62.675346865327356,0.15,87.0,0.0
4213.0,4346.0,14078.0,14211.0,1080.0,14458.0,14154.0,14288.0,6766.609898075386,-8259.872866900841,-62.572692058267876,6757.2288961067825,-8239.742681123855,-62.523578947781516,0.15,87.0,0.0
4347.0,4489.0,14212.0,14354.0,7311.0,7429.0,14289.0,14432.0,6769.155370924631,-8233.22964730107,-62.536764559275525,6779.193197018821,-8254.844891636089,-62.57850409651519,0.15,87.0,0.0
4490.0,4521.0,14355.0,14386.0,11646.0,707.0,14433.0,14465.0,6747.299796282924,-8218.645153661311,-62.517710975562295,6745.084229508994,-8213.863813391557,-62.50317746516839,0.15,87.0,0.0
4522.0,4563.0,14387.0,14428.0,6154.0,14596.0,14466.0,14508.0,6763.639338923807,-8199.102542926586,-62.50872557925959,6760.682068296404,-8192.7328210619,-62.474364187463834,0.15,87.0,0.0
4564.0,4671.0,14429.0,14536.0,727.0,14558.0,14509.0,14617.0,6743.493085128483,-8210.43817693246,-62.49506224903644,6749.946664071393,-8195.991599755002,-62.441208236703005,0.15,87.0,0.0
4672.0,4814.0,14537.0,14679.0,15944.0,16270.0,14618.0,14761.0,6787.794226218128,-8250.940754142854,-62.57556909564528,6777.608832021921,-8229.135365444028,-62.54442600884295,0.15,87.0,0.0
4815.0,4972.0,14680.0,14837.0,6640.0,6637.0,14762.0,14920.0,6805.905483816265,-8289.612117578945,-62.62726360729448,6794.6176146820035,-8265.485380964601,-62.606760467092954,0.15,87.0,0.0
4973.0,5283.0,14838.0,15148.0,3772.0,3587.0,14921.0,15232.0,6764.726355995667,-8178.54463252132,-62.478346532108844,6734.839220999536,-8214.085394269829,-62.49264366962916,0.15,87.0,0.0
5284.0,6513.0,15149.0,16378.0,5108.0,4041.0,15233.0,16463.0,6826.990592952414,-8327.863337360766,-62.72787463956092,6784.300347439398,-8169.404987998452,-62.5013524234314,0.15,87.0,0.0
6514.0,6542.0,16379.0,16407.0,16897.0,6124.0,16464.0,16493.0,6768.188864059205,-8208.793983864269,-62.50207969893518,6766.105304518129,-8204.438975628424,-62.494237576007436,0.15,87.0,0.0
6543.0,6586.0,16408.0,16451.0,13496.0,13457.0,16494.0,16538.0,6793.078144319529,-8309.291227552945,-62.66633614239481,6799.64850924166,-8306.159217012451,-62.65523297861182,0.15,87.0,0.0
6587.0,6741.0,16452.0,16606.0,7232.0,7227.0,16539.0,16694.0,6785.975726264022,-8269.343300016099,-62.61359154109596,6797.19316500532,-8293.342383391428,-62.65385222587156,0.15,87.0,0.0
6742.0,6754.0,16607.0,16619.0,7015.0,6944.0,16695.0,16708.0,6803.9094957187035,-8307.774111555784,-62.64688882014889,6804.813546920016,-8309.700294252289,-62.65337505411571,0.15,87.0,0.0
6755.0,6776.0,16620.0,16641.0,14199.0,14156.0,16709.0,16731.0,6844.158812372853,-8287.469826891667,-62.67337778970341,6847.466133059247,-8285.9628968217,-62.639957709443024,0.15,87.0,0.0
6777.0,6811.0,16642.0,16676.0,18033.0,14766.0,16732.0,16767.0,6805.1556019577165,-8212.250058883377,-62.4368659935958,6810.472748654693,-8209.716480213556,-62.44325984358875,0.15,87.0,0.0
6812.0,6850.0,16677.0,16715.0,14722.0,18666.0,16768.0,16807.0,6805.070416718195,-8195.361928824263,-62.421940105802605,6799.213590841086,-8198.115594264898,-62.4522543968219,0.15,87.0,0.0
6851.0,6892.0,16716.0,16757.0,17206.0,15894.0,16808.0,16850.0,6798.654700995173,-8249.379051514683,-62.57509984273611,6792.147693599726,-8252.426896262485,-62.590133978609174,0.15,87.0,0.0
6893.0,6935.0,16758.0,16800.0,10976.0,17212.0,16851.0,16894.0,6796.000293993672,-8261.105852212462,-62.61252938448342,6802.43894902734,-8258.039278117545,-62.61339779324635,0.15,87.0,0.0
6936.0,6978.0,16801.0,16843.0,12677.0,18084.0,16895.0,16938.0,6778.929975223652,-8224.618059654418,-62.53897235806244,6785.4709484106,-8221.569608978938,-62.51397342125301,0.15,87.0,0.0
6979.0,7018.0,16844.0,16883.0,18434.0,11795.0,16939.0,16979.0,6779.306852658767,-8207.317402149209,-62.48897110247435,6773.179478770007,-8210.194137005345,-62.49418626863144,0.15,87.0,0.0
7019.0,7064.0,16884.0,16929.0,11682.0,11680.0,16980.0,17026.0,6758.931814326406,-8216.915965910941,-62.5007809768058,6752.017299889399,-8220.137480989815,-62.47963377367114,0.15,87.0,0.0
7065.0,7109.0,16930.0,16974.0,14502.0,12789.0,17027.0,17072.0,6757.6812603811795,-8234.583106402502,-62.47735985454756,6764.504169534618,-8231.382251854793,-62.53143560471881,0.15,87.0,0.0
7110.0,7151.0,16975.0,17016.0,11092.0,16147.0,17073.0,17115.0,6775.225704468274,-8270.824935313429,-62.61110018150657,6781.60725674863,-8267.752458739118,-62.61287455913043,0.15,87.0,0.0
7152.0,7194.0,17017.0,17059.0,16070.0,14408.0,17116.0,17159.0,6777.823907508265,-8259.14119032817,-62.58864040626213,6771.333993738138,-8262.139745840866,-62.57165438343691,0.15,87.0,0.0
7195.0,7204.0,17060.0,17069.0,5575.0,14924.0,17160.0,17170.0,6841.610511326744,-8272.855400053646,-62.65857401828862,6842.3604961315605,-8274.453660712057,-62.6224620984176,0.15,87.0,0.0
7205.0,8114.0,17070.0,17979.0,3607.0,5128.0,17171.0,18081.0,6736.417388621585,-8217.617258121603,-62.49588256544121,6816.443482743042,-8333.099756461583,-62.73347464514518,0.15,87.0,0.0
8115.0,8133.0,17980.0,17998.0,6994.0,15292.0,18082.0,18101.0,6809.002551948262,-8318.777724674177,-62.68673780214067,6810.595463746805,-8322.190366605391,-62.69191268352188,0.15,87.0,0.0
8134.0,8150.0,17999.0,18015.0,9037.0,9051.0,18102.0,18119.0,6780.413380763862,-8194.825212550211,-62.40400056391036,6781.677276384714,-8197.540369377111,-62.37085078402242,0.0,87.0,2.0
8151.0,8169.0,18016.0,18034.0,9002.0,9016.0,18120.0,18139.0,6777.42207787791,-8188.40015118571,-62.384528156233046,6778.708867205017,-8191.1657870892295,-62.39346457706915,0.0,87.0,2.0
8170.0,8192.0,18035.0,18057.0,9232.0,9250.0,18140.0,18163.0,6788.99099311285,-8191.956141309159,-62.400415467708626,6787.321584163567,-8188.355098253851,-62.353991471545214,0.0,87.0,2.0
8193.0,8222.0,18058.0,18087.0,5905.0,5933.0,18164.0,18194.0,6791.209888784116,-8175.069319785786,-62.47299724133336,6796.778036695469,-8174.284422378457,-62.43591412157912,0.0,87.0,2.0
